Hardware Vendor,Nodes,Form Factor,Result,ssj_ops @ 10% of target load,ssj_ops @ 90% of target load,ssj_ops @ 80% of target load,ssj_ops @ 70% of target load,ssj_ops @ 60% of target load,ssj_ops @ 50% of target load,ssj_ops @ 40% of target load,ssj_ops @ 30% of target load,ssj_ops @ 20% of target load,ssj_ops @ 10% of target load,Average watts @ 10% of target load,Average watts @ 90% of target load,Average watts @ 80% of target load,Average watts @ 70% of target load,Average watts @ 60% of target load,Average watts @ 50% of target load,Average watts @ 40% of target load,Average watts @ 30% of target load,Average watts @ 20% of target load,Average watts@10% of target load,Average watts @ active idle,Performance/power @ 10% of target load,Performance/power @ 90% of target load,Performance/power @ 80% of target load,Performance/power @ 70% of target load,Performance/power @ 60% of target load,Performance/power @ 50% of target load,Performance/power @ 40% of target load,Performance/power @ 30% of target load,Performance/power @ 20% of target load,Performance/power @ 10% of target load,# Cores,# Chips,# Cores Per Chip,Processor,DIMMS,Power Supply Details,Power Supply Rating (watts)
Fujitsu,1,1U,11660,786578,718749,637381,559173,479727,395072,317856,238148,159527,79813,57.4,50.6,44.7,40.1,35.8,31.6,28.3,25.6,23.2,20.7,16.8,13702,14191,14258,13943,13402,12485,11234,9314,6864,3847,8,1,8,Intel Xeon E-2288G,2 x 8192 MB,S26113-F575-E13,450
Fujitsu,1,2U,10765,38700,34900,30900,27100,23300,19400,15500,11600,774176,387384,318,277,240,212,188,167,151,137,122,106,61.5,12191,12623,12904,12797,12385,11575,10259,8483,6334,3645,36,2,18,Intel Xeon Gold 5220,12 x 16384 MB,Fujitsu Technology Solutions S26113-F574-E13,80
Fujitsu,1,1U,9811,32300,29100,25800,22600,19400,16200,12900,970277,646383,322218,289,260,230,199,172,153,138,123,108,92.3,47.3,11191,11173,11236,11377,11283,10544,9367,7896,5982,3492,36,2,18,Intel Xeon E5-2699 v3 2.30 GHz,8 x 8192 MB,Fujitsu Technology Solutions S26113-F615-E10,80
Fujitsu,1,1U,10950,34500,31100,27600,24200,20700,17200,13800,10400,690427,344856,266,239,211,186,169,154,138,122,107,91.4,49.6,12954,12972,13062,12978,12295,11208,9973,8507,6481,3773,44,2,22,Intel Xeon E5-2699 v4 2.20 GHz,8 x 8192 MB,Fujitsu Technology Solutions S26113-F615-E10,80
Fujitsu,1,2U,1306,51900,46800,41700,36600,31100,26000,20800,15600,10400,520770,367,322,272,236,208,185,166,148,130,111,53.6,14140,14528,15298,15505,1508,14035,12533,10519,7956,4684,56,2,28,Intel Xeon Platinum 8276L 2.20 GHz,12 x 16384 MB,Fujitsu Technology Solutions S26113-F615-E10,80
Fujitsu,1,2U,11638,34500,31000,27500,24100,20700,17200,13700,10300,688822,342368,255,224,196,174,158,145,132,114,98.9,84.7,43.6,13504,13814,13988,13820,13081,11868,10433,9048,6965,4043,44,2,22,Intel Xeon E5-2699 v4 2.20 GHz,8 x 8192 MB,Fujitsu Technology Solutions S26113-F615-E10,80
Fujitsu,1,2U,12842,50800,45800,40800,35600,30500,25400,20400,15300,10200,506845,355,309,269,237,212,188,166,147,129,109,57.3,14293,14835,15137,15070,14420,13539,12239,10350,7889,4634,56,2,28,Intel Xeon Platinum 8176M,12 x 16 GB,Fujitsu Technology Solutions S26113-F615-E10,80
Fujitsu,1,2U,13502,55100,49800,44200,38700,33200,27600,22100,16600,11100,555330,388,322,276,242,213,189,169,150,132,112,58.3,14201,15442,16034,16028,15576,14620,13091,11037,8407,4955,56,2,28,Intel Xeon Platinum 8280L 2.70 GHz,12 x 16384 MB,Fujitsu Technology Solutions S26113-F615-E10,80
Fujitsu,1,2U,11991,46600,42000,37400,32700,28000,23300,18600,14000,930994,465123,332,303,269,235,208,183,163,146,129,112,58.2,14023,13849,13905,13907,13487,12701,11414,9563,7196,4164,56,2,28,Intel Xeon Platinum 8276L 2.20 GHz,12 x 16384 MB,Fujitsu Technology Solutions S26113-F615-E10,80
Fujitsu,1,4U,10699,32600,29400,26100,22900,19700,16300,13100,976085,652130,327272,267,241,212,185,161,144,129,115,99.9,84.5,40.1,12196,12201,12333,12390,12183,11336,10103,8514,6525,3873,36,2,18,Intel Xeon E5-2699 v3 2.30 GHz,8 x 8192 MB,Fujitsu Technology Solutions S26113-F615-E10,80
